Latitude,Longitude,Value
-90,-180,2.1996857287425997
-89,-180,3.6934832289467434
-88,-180,12.145114104544271
-87,-180,26.14389536795883
-86,-180,21.972996007588385
-85,-180,6.233302335141849
-84,-180,0.08647496018925893
-83,-180,1.1977129035163714
-82,-180,14.818755464844033
-81,-180,1.1665791267660475
-80,-180,11.204487437108607
-79,-180,16.22249928945612
-78,-180,7.602186500259554
-77,-180,4.474654342124151
-76,-180,17.869733357675816
-75,-180,18.377235598516542
-74,-180,24.58237673684878
-73,-180,9.175060993879216
-72,-180,22.653709174395352
-71,-180,4.46337675857892
-70,-180,24.433604290803594
-69,-180,14.97637510015403
-68,-180,4.6848426884061585
-67,-180,21.480419990360584
-66,-180,15.212775656991433
-65,-180,2.5226225471934516
-64,-180,16.370267398164273
-63,-180,26.393125818467173
-62,-180,21.264431782078848
-61,-180,20.127300940511514
-60,-180,29.823773942659162
-59,-180,28.611565085258622
-58,-180,28.375947244241846
-57,-180,0.7221006435786614
-56,-180,26.318284441433438
-55,-180,21.960478796266525
-54,-180,18.093670457388974
-53,-180,22.538554685202772
-52,-180,18.19427676978701
-51,-180,12.296642530485935
-50,-180,13.72537285235213
-49,-180,2.7682341757657003
-48,-180,8.605118952337156
-47,-180,6.319469198360058
-46,-180,9.155200690622692
-45,-180,4.146638072737753
-44,-180,15.714630674075675
-43,-180,2.785273541965668
-42,-180,14.195743198127214
-41,-180,3.9048397967856117
-40,-180,29.62080231530554
-39,-180,23.056279791896266
-38,-180,15.698454284970948
-37,-180,18.989798399320794
-36,-180,17.250404079471537
-35,-180,10.880643926611926
-34,-180,12.325441259698898
-33,-180,4.801251672164809
-32,-180,12.760818234422864
-31,-180,7.888936837214415
-30,-180,16.592971428490184
-29,-180,28.71978365444214
-28,-180,25.47673288495738
-27,-180,15.52089683731166
-26,-180,26.654725371542373
-25,-180,19.878815068472043
-24,-180,1.6701655030028117
-23,-180,19.274095143794344
-22,-180,14.712629001861576
-21,-180,20.925062803520536
