Latitude,Longitude,Value
-90,-180,6.893279944446051
-89,-180,7.964790240208802
-88,-180,11.315413738310275
-87,-180,18.165410633489813
-86,-180,16.977254552857666
-85,-180,12.447874407775586
-84,-180,5.143671525743481
-83,-180,8.48790587320856
-82,-180,9.418177833398316
-81,-180,13.940057366765311
-80,-180,14.172649313129696
-79,-180,15.785801711494692
-78,-180,12.098805950340187
-77,-180,11.625552741304988
-76,-180,12.009322346130817
-75,-180,18.838697484281216
-74,-180,16.595273669621932
-73,-180,19.72350960505578
-72,-180,15.335956432348198
-71,-180,18.405421346738404
-70,-180,16.79689151163729
-69,-180,16.50522507687204
-68,-180,16.810033931226368
-67,-180,15.221849802062549
-66,-180,12.325808151172732
-65,-180,12.086348783936694
-64,-180,15.51467080446858
-63,-180,21.305121960635557
-62,-180,21.106622408639577
-61,-180,22.524090586374026
-60,-180,24.366597438165968
-59,-180,25.306393700284975
-58,-180,17.073888264261996
-57,-180,15.437456295001203
-56,-180,15.20468116663042
-55,-180,20.97011923000155
-54,-180,21.57026323895825
-53,-180,19.197379334400875
-52,-180,16.35635499080017
-51,-180,14.948467208206766
-50,-180,13.790206836519268
-49,-180,13.1601356106721
-48,-180,10.855936800303686
-47,-180,10.51750522918249
-46,-180,9.385486485388858
-45,-180,9.505962599298917
-44,-180,8.20830871106777
-43,-180,10.917138381629384
-42,-180,9.182530139699056
-41,-180,16.673442948307716
-40,-180,18.165163322341545
-39,-180,22.12014719002488
-38,-180,17.2280943422825
-37,-180,15.008801149171404
-36,-180,13.67955631944587
-35,-180,12.169381353907532
-34,-180,10.08758327242347
-33,-180,10.3242929271182
-32,-180,11.694834543491313
-31,-180,13.472248475315306
-30,-180,16.09032091041571
-29,-180,18.26425971819188
-28,-180,19.92895342501838
-27,-180,18.829131433361045
-26,-180,19.133285020691133
-25,-180,16.401775248784094
-24,-180,15.048219889710062
-23,-180,13.093096110448386
-22,-180,16.925503628956744
-21,-180,15.974885474879748
-20,-180,15.535094410955054
-19,-180,16.643461844651647
-18,-180,15.462656541148975
-17,-180,12.197472850333298
-16,-180,9.125859272786599
-15,-180,8.03534029477437
-14,-180,9.948681431180567
-13,-180,12.936858069704817
-12,-180,16.62086071965341
-11,-180,20.84295050399854
-10,-180,14.51734588642338
-9,-180,15.397895725961765
-8,-180,12.771770216855678
-7,-180,12.966622376857378
-6,-180,15.973028547305946
-5,-180,17.314299236152525
-4,-180,17.310198759369964
-3,-180,13.294644611328659
-2,-180,13.356346684401274
-1,-180,17.312746524774624
0,-180,18.45708712911534
1,-180,20.947513190377933
2,-180,19.92840135710425
3,-180,17.16069338302044
4,-180,11.54578685964843
5,-180,12.121948660146986
6,-180,11.36393054391003
7,-180,12.042825402765127
8,-180,15.471113007978012
9,-180,17.760375471459216
10,-180,19.99901959392349
11,-180,14.087417486138088
12,-180,14.252289713775477
13,-180,10.308856174446506
14,-180,10.507968903809893
15,-180,9.26955919816204
16,-180,13.751921402142884
17,-180,14.493109053865737
18,-180,17.6205482555546
19,-180,18.713312692802646
20,-180,21.5551880116109
21,-180,19.795123397075102
22,-180,19.17318385451407
23,-180,21.142675745408518
24,-180,20.88945521324897
25,-180,16.92622980716206
26,-180,16.53635502964306
27,-180,12.126866312837164
28,-180,14.066272915275798
29,-180,12.752632727786308
30,-180,14.658306209227883
31,-180,17.108436607423243
32,-180,14.059353716728134
33,-180,15.273883969465459
34,-180,9.873668410072874
35,-180,8.280647679923767
36,-180,10.255237109579873
37,-180,16.501332189713324
38,-180,19.25643668553086
39,-180,19.410694821199524
40,-180,17.979307053562177
41,-180,17.791022074811057
42,-180,14.336688367997132
43,-180,15.016818161525768
44,-180,14.221612404205176
45,-180,17.83039794689367
46,-180,12.940998467446677
47,-180,12.139237671073616
48,-180,11.990636238771414
